gene_name,identifier,variant_category
ABCA3,Q99758,2
ABCA3,Q99758,1
ABCA3,Q99758,2
ABCA3,Q99758,2
ABCA3,Q99758,2
ABCA3,Q99758,2
ABCA3,Q99758,2
ABCA3,Q99758,1
ABCA3,Q99758,1
ABCA3,Q99758,2
ABCA3,Q99758,1
ABCA3,Q99758,1
ABCA3,Q99758,1
ABCA3,Q99758,2
ABCA3,Q99758,1
ABCA3,Q99758,1
ABCA3,Q99758,1
ABCA4,P78363,1
ABCA4,P78363,2
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,2
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,2
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,0
ABCA4,P78363,1
ABCA4,P78363,2
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,2
ABCA4,P78363,0
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,0
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,2
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,2
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,0
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,2
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,1
ABCA4,P78363,0
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,0
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,0
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,2
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,0
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,2
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,2
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,0
ABCA4,P78363,1
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,0
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,0
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,0
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,2
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,0
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,0
ABCA4,P78363,2
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,1
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,0
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,1
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,0
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,0
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,2
ABCA4,P78363,0
ABCA4,P78363,2
ABCA4,P78363,0
ABCA4,P78363,2
ABCA5,Q8WWZ7,0
ABCA5,Q8WWZ7,0
ABCA5,Q8WWZ7,0
ABCA5,Q8WWZ7,0
ABCA5,Q8WWZ7,0
ABCA5,Q8WWZ7,0
ABCA5,Q8WWZ7,0
ABCA6,Q8N139,0
ABCA6,Q8N139,0
ABCA6,Q8N139,0
ABCA6,Q8N139,0
ABCA6,Q8N139,0
ABCA7,Q8IZY2,0
ABCA7,Q8IZY2,0
ABCA7,Q8IZY2,0
ABCA7,Q8IZY2,0
ABCA7,Q8IZY2,0
ABCA7,Q8IZY2,0
ABCA7,Q8IZY2,0
ABCA7,Q8IZY2,0
ABCA7,Q8IZY2,0
ABCA7,Q8IZY2,0
ABCA7,Q8IZY2,1
ABCA8,O94911,0
ABCA8,O94911,0
ABCA8,O94911,0
ABCA8,O94911,0
ABCA8,O94911,0
ABCA8,O94911,0
ABCA8,O94911,0
ABCA8,O94911,0
ABCA9,Q8IUA7,0
ABCA9,Q8IUA7,0
ABCA9,Q8IUA7,0
ABCA9,Q8IUA7,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,2
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB1,P08183,0
ABCB10,Q9NRK6,0
ABCB10,Q9NRK6,0
ABCB10,Q9NRK6,2
ABCB10,Q9NRK6,0
ABCB11,O95342,1
ABCB11,O95342,1
ABCB11,O95342,1
ABCB11,O95342,0
ABCB11,O95342,1
ABCB11,O95342,1
ABCB11,O95342,1
ABCB11,O95342,1
ABCB11,O95342,1
ABCB11,O95342,1
ABCB11,O95342,1
ABCB11,O95342,0
ABCB11,O95342,1
ABCB11,O95342,0
ABCB11,O95342,1
ABCB11,O95342,1
ABCB11,O95342,1
ABCB11,O95342,0
ABCB11,O95342,1
ABCB11,O95342,1
ABCB11,O95342,1
ABCB11,O95342,1
ABCB11,O95342,0
ABCB11,O95342,0
ABCB11,O95342,0
ABCB11,O95342,0
ABCB11,O95342,0
ABCB11,O95342,0
ABCB11,O95342,0
ABCB11,O95342,0
ABCB11,O95342,0
ABCB11,O95342,2
ABCB11,O95342,2
ABCB11,O95342,0
ABCB11,O95342,0
ABCB11,O95342,0
ABCB11,O95342,2
ABCB11,O95342,1
ABCB11,O95342,2
ABCB11,O95342,2
ABCB11,O95342,1
ABCB11,O95342,2
ABCB11,O95342,1
ABCB11,O95342,0
ABCB11,O95342,0
ABCB4,P21439,0
ABCB4,P21439,0
ABCB4,P21439,2
ABCB4,P21439,2
ABCB4,P21439,2
ABCB4,P21439,2
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,0
ABCB4,P21439,0
ABCB4,P21439,0
ABCB4,P21439,0
ABCB4,P21439,0
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,0
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,0
ABCB4,P21439,2
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,2
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,0
ABCB4,P21439,1
ABCB4,P21439,2
ABCB4,P21439,2
ABCB4,P21439,2
ABCB4,P21439,1
ABCB4,P21439,0
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,2
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,2
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,2
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB4,P21439,1
ABCB5,Q2M3G0,0
ABCB5,Q2M3G0,0
ABCB5,Q2M3G0,0
ABCB5,Q2M3G0,0
ABCB5,Q2M3G0,0
ABCB5,Q2M3G0,2
ABCB5,Q2M3G0,2
ABCB6,Q9NP58,0
ABCB6,Q9NP58,2
ABCB6,Q9NP58,0
ABCB6,Q9NP58,0
ABCB6,Q9NP58,2
ABCB6,Q9NP58,1
ABCB6,Q9NP58,1
ABCB6,Q9NP58,1
ABCB6,Q9NP58,1
ABCB6,Q9NP58,1
ABCB6,Q9NP58,1
ABCB6,Q9NP58,1
ABCB6,Q9NP58,1
ABCB6,Q9NP58,1
ABCB6,Q9NP58,1
ABCB6,Q9NP58,1
ABCB6,Q9NP58,0
ABCB6,Q9NP58,0
ABCB6,Q9NP58,0
ABCB6,Q9NP58,0
ABCB6,Q9NP58,0
ABCB6,Q9NP58,0
ABCB7,O75027,1
ABCB7,O75027,1
ABCB7,O75027,0
ABCB7,O75027,0
ABCB7,O75027,1
ABCB7,O75027,0
ABCB7,O75027,0
ABCB7,O75027,1
ABCB8,Q9NUT2,0
ABCB8,Q9NUT2,2
ABCB8,Q9NUT2,2
ABCB9,Q9NP78,0
ABCC1,P33527,0
ABCC1,P33527,0
ABCC1,P33527,0
ABCC1,P33527,0
ABCC1,P33527,0
ABCC1,P33527,0
ABCC1,P33527,0
ABCC1,P33527,0
ABCC1,P33527,0
ABCC1,P33527,0
ABCC1,P33527,0
ABCC1,P33527,0
ABCC1,P33527,2
ABCC1,P33527,0
ABCC1,P33527,2
ABCC1,P33527,1
ABCC1,P33527,0
ABCC1,P33527,0
ABCC1,P33527,0
ABCC10,Q5T3U5,0
ABCC11,Q96J66,0
ABCC11,Q96J66,0
ABCC11,Q96J66,0
ABCC11,Q96J66,0
ABCC11,Q96J66,0
ABCC11,Q96J66,0
ABCC11,Q96J66,0
ABCC11,Q96J66,0
ABCC11,Q96J66,0
ABCC11,Q96J66,0
ABCC12,Q96J65,0
ABCC12,Q96J65,0
ABCC12,Q96J65,0
ABCC12,Q96J65,0
ABCC12,Q96J65,0
ABCC12,Q96J65,0
ABCC12,Q96J65,0
ABCC12,Q96J65,0
ABCC12,Q96J65,0
ABCC12,Q96J65,0
ABCC12,Q96J65,0
ABCC2,Q92887,1
ABCC2,Q92887,1
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,1
ABCC2,Q92887,1
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC2,Q92887,0
ABCC3,O15438,0
ABCC3,O15438,0
ABCC3,O15438,0
ABCC3,O15438,0
ABCC3,O15438,0
ABCC3,O15438,0
ABCC3,O15438,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC4,O15439,0
ABCC6,O95255,0
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,0
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,0
ABCC6,O95255,0
ABCC6,O95255,0
ABCC6,O95255,0
ABCC6,O95255,0
ABCC6,O95255,0
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,0
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,0
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,0
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,0
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,0
ABCC6,O95255,0
ABCC6,O95255,0
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,0
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,0
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,0
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,0
ABCC6,O95255,0
ABCC6,O95255,1
ABCC6,O95255,0
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,0
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,0
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,1
ABCC6,O95255,2
ABCC6,O95255,2
ABCC6,O95255,2
ABCC6,O95255,2
ABCC6,O95255,2
ABCC6,O95255,2
ABCC6,O95255,2
ABCC6,O95255,2
ABCC6,O95255,2
ABCC6,O95255,2
ABCC6,O95255,2
ABCC8,Q09428,1
ABCC8,Q09428,1
ABCC8,Q09428,1
ABCC8,Q09428,1
ABCC8,Q09428,1
ABCC8,Q09428,1
ABCC8,Q09428,1
ABCC8,Q09428,1
ABCC8,Q09428,0
ABCC8,Q09428,1
